Evaluation started at 2025-05-27 08:49:16

Image: enter_2024_11_09_20_37_09.jpg, pred_boxes=[(1370, 355, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.9038
Image: enter_2024_11_11_12_47_24.jpg, pred_boxes=[(240, 320, 100, 55)], pred_scores=['0.9263'], Avg IoU=0.0000
Image: enter_2024_11_11_12_33_02.jpg, pred_boxes=[(1540, 270, 115, 65)], pred_scores=['0.9937'], Avg IoU=0.0000
Image: enter_2024_11_11_12_45_56.jpg, pred_boxes=[(2140, 165, 70, 110)], pred_scores=['0.9721'], Avg IoU=0.0000
Image: enter_2024_11_11_12_56_15.jpg, pred_boxes=[(35, 1230, 160, 65)], pred_scores=['0.9937'], Avg IoU=0.0000
Image: enter_2024_11_11_13_35_40.jpg, pred_boxes=[(1885, 195, 90, 95)], pred_scores=['1.0000'], Avg IoU=0.6885
Image: enter_2024_11_11_13_40_40.jpg, pred_boxes=[(1805, 135, 100, 80)], pred_scores=['1.0000'], Avg IoU=0.7364
Image: enter_2024_11_11_13_45_10.jpg, pred_boxes=[(1350, 210, 115, 65)], pred_scores=['0.9920'], Avg IoU=0.3050
Image: enter_2024_11_11_13_54_47.jpg, pred_boxes=[(60, 65, 285, 80)], pred_scores=['0.9387'], Avg IoU=0.0000
Image: enter_2024_11_11_14_37_51.jpg, pred_boxes=[(1025, 290, 145, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_14_43_22.jpg, pred_boxes=[(1315, 405, 185, 80)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_14_39_36.jpg, pred_boxes=[(680, 470, 140, 70)], pred_scores=['1.0000'], Avg IoU=0.8892
Image: enter_2024_11_11_14_45_51.jpg, pred_boxes=[(1395, 345, 95, 35)], pred_scores=['1.0000'], Avg IoU=0.8574
Image: enter_2024_11_11_14_46_44.jpg, pred_boxes=[(1685, 240, 100, 50)], pred_scores=['0.9934'], Avg IoU=0.7877
Image: enter_2024_11_11_14_55_52.jpg, pred_boxes=[(620, 280, 210, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_15_18_10.jpg, pred_boxes=[(35, 1235, 160, 60)], pred_scores=['0.9956'], Avg IoU=0.0000
Image: enter_2024_11_11_15_24_47.jpg, pred_boxes=[(1255, 275, 85, 45)], pred_scores=['0.9674'], Avg IoU=0.7883
Image: enter_2024_11_11_14_59_47.jpg, pred_boxes=[(840, 420, 185, 70)], pred_scores=['1.0000'], Avg IoU=0.7042
Image: enter_2024_11_11_15_38_15.jpg, pred_boxes=[(35, 1245, 160, 50)], pred_scores=['0.9902'], Avg IoU=0.0000
Image: enter_2024_11_11_15_58_10.jpg, pred_boxes=[(1440, 200, 95, 30)], pred_scores=['1.0000'], Avg IoU=0.8078
Image: enter_2024_11_11_15_39_48.jpg, pred_boxes=[(1455, 385, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.8403
Image: enter_2024_11_11_16_01_43.jpg, pred_boxes=[(1730, 460, 155, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_16_04_18.jpg, pred_boxes=[(1495, 315, 155, 35)], pred_scores=['1.0000'], Avg IoU=0.4438
Image: enter_2024_11_11_16_04_36.jpg, pred_boxes=[(1825, 300, 90, 60)], pred_scores=['0.9932'], Avg IoU=0.8523
Image: enter_2024_11_11_16_30_06.jpg, pred_boxes=[(1020, 0, 155, 110)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_16_29_13.jpg, pred_boxes=[(1100, 390, 180, 70)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_17_24_16.jpg, pred_boxes=[(1465, 235, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.8495
Image: enter_2024_11_11_18_04_34.jpg, pred_boxes=[(1520, 235, 100, 45)], pred_scores=['1.0000'], Avg IoU=0.8316
Image: enter_2024_11_11_18_01_40.jpg, pred_boxes=[(2095, 230, 140, 90)], pred_scores=['0.9928'], Avg IoU=0.0000
Image: enter_2024_11_11_18_17_31.jpg, pred_boxes=[(1060, 0, 120, 120)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_18_21_58.jpg, pred_boxes=[(1025, 290, 90, 55)], pred_scores=['1.0000'], Avg IoU=0.7739
Image: enter_2024_11_11_18_37_03.jpg, pred_boxes=[(1220, 315, 185, 30)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_18_53_31.jpg, pred_boxes=[(1445, 350, 95, 90)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_18_56_27.jpg, pred_boxes=[(1325, 0, 65, 115)], pred_scores=['0.9874'], Avg IoU=0.0000
Image: enter_2024_11_11_18_43_10.jpg, pred_boxes=[(1955, 110, 65, 110)], pred_scores=['0.9972'], Avg IoU=0.0000
Image: enter_2024_11_11_19_50_16.jpg, pred_boxes=[(1750, 130, 80, 55)], pred_scores=['1.0000'], Avg IoU=0.7892
Image: enter_2024_11_11_19_20_20.jpg, pred_boxes=[(35, 1240, 155, 55)], pred_scores=['0.9953'], Avg IoU=0.0000
Image: enter_2024_11_11_19_52_30.jpg, pred_boxes=[(535, 110, 105, 95)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_11_20_01_48.jpg, pred_boxes=[(1180, 205, 135, 40)], pred_scores=['0.9803'], Avg IoU=0.0000
Image: enter_2024_11_11_19_57_37.jpg, pred_boxes=[(1005, 330, 95, 60)], pred_scores=['0.9943'], Avg IoU=0.7230
Image: enter_2024_11_11_20_27_55.jpg, pred_boxes=[(40, 1240, 155, 55)], pred_scores=['0.9909'], Avg IoU=0.0000
Image: enter_2024_11_11_20_22_31.jpg, pred_boxes=[(1535, 240, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.8397
Image: enter_2024_11_11_20_24_23.jpg, pred_boxes=[(1250, 510, 110, 35)], pred_scores=['0.9903'], Avg IoU=0.0000
Image: enter_2024_11_11_20_35_39.jpg, pred_boxes=[(1920, 385, 215, 65)], pred_scores=['1.0000'], Avg IoU=0.4260
Image: enter_2024_11_11_20_30_48.jpg, pred_boxes=[(1535, 240, 105, 35)], pred_scores=['1.0000'], Avg IoU=0.8890
Image: enter_2024_11_12_09_54_27.jpg, pred_boxes=[(735, 645, 140, 65)], pred_scores=['1.0000'], Avg IoU=0.7338
Image: enter_2024_11_12_09_49_41.jpg, pred_boxes=[(1155, 720, 145, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_09_57_47.jpg, pred_boxes=[(570, 560, 160, 75)], pred_scores=['1.0000'], Avg IoU=0.8102
Image: enter_2024_11_12_10_29_28.jpg, pred_boxes=[(1575, 405, 95, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_10_16_37.jpg, pred_boxes=[(1090, 0, 270, 100)], pred_scores=['0.9834'], Avg IoU=0.0000
Image: enter_2024_11_12_10_42_23.jpg, pred_boxes=[(1155, 210, 70, 120)], pred_scores=['0.9860'], Avg IoU=0.0000
Image: enter_2024_11_12_10_44_24.jpg, pred_boxes=[(985, 290, 95, 60)], pred_scores=['1.0000'], Avg IoU=0.8636
Image: enter_2024_11_12_11_20_40.jpg, pred_boxes=[(970, 625, 190, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_11_31_15.jpg, pred_boxes=[(1790, 170, 80, 60)], pred_scores=['0.9879'], Avg IoU=0.7756
Image: enter_2024_11_12_11_37_17.jpg, pred_boxes=[(1555, 0, 80, 45)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_11_35_51.jpg, pred_boxes=[(860, 450, 220, 35)], pred_scores=['1.0000'], Avg IoU=0.0174
Image: enter_2024_11_12_11_38_49.jpg, pred_boxes=[(1870, 210, 80, 60)], pred_scores=['1.0000'], Avg IoU=0.8304
Image: enter_2024_11_12_12_02_29.jpg, pred_boxes=[(1385, 325, 110, 35)], pred_scores=['1.0000'], Avg IoU=0.9132
Image: enter_2024_11_12_11_43_48.jpg, pred_boxes=[(540, 600, 135, 70)], pred_scores=['1.0000'], Avg IoU=0.8928
Image: enter_2024_11_12_12_08_03.jpg, pred_boxes=[(1610, 120, 80, 45)], pred_scores=['1.0000'], Avg IoU=0.7561
Image: enter_2024_11_12_12_04_38.jpg, pred_boxes=[(1075, 315, 90, 55)], pred_scores=['1.0000'], Avg IoU=0.9277
Image: enter_2024_11_12_12_11_17.jpg, pred_boxes=[(395, 170, 80, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_12_13_15.jpg, pred_boxes=[(1855, 215, 75, 55)], pred_scores=['0.9967'], Avg IoU=0.7956
Image: enter_2024_11_12_12_45_26.jpg, pred_boxes=[(1625, 0, 85, 50)], pred_scores=['0.9788'], Avg IoU=0.0000
Image: enter_2024_11_12_12_43_12.jpg, pred_boxes=[(1480, 380, 80, 45)], pred_scores=['1.0000'], Avg IoU=0.6244
Image: enter_2024_11_12_12_46_31.jpg, pred_boxes=[(1330, 160, 85, 80)], pred_scores=['0.9965'], Avg IoU=0.2263
Image: enter_2024_11_12_12_47_53.jpg, pred_boxes=[(85, 0, 200, 120)], pred_scores=['0.9720'], Avg IoU=0.0000
Image: enter_2024_11_12_12_46_22.jpg, pred_boxes=[(1220, 350, 80, 45)], pred_scores=['1.0000'], Avg IoU=0.9042
Image: enter_2024_11_12_13_04_44.jpg, pred_boxes=[(1480, 340, 85, 30)], pred_scores=['1.0000'], Avg IoU=0.8954
Image: enter_2024_11_12_13_48_03.jpg, pred_boxes=[(1570, 225, 75, 55)], pred_scores=['1.0000'], Avg IoU=0.6987
Image: enter_2024_11_12_13_57_27.jpg, pred_boxes=[(1775, 310, 200, 70)], pred_scores=['0.9938'], Avg IoU=0.0000
Image: enter_2024_11_12_13_59_54.jpg, pred_boxes=[(1390, 245, 90, 35)], pred_scores=['1.0000'], Avg IoU=0.7068
Image: enter_2024_11_12_14_10_01.jpg, pred_boxes=[(695, 535, 150, 65)], pred_scores=['1.0000'], Avg IoU=0.7968
Image: enter_2024_11_12_14_13_14.jpg, pred_boxes=[(1045, 630, 195, 60)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_14_27_41.jpg, pred_boxes=[(395, 105, 125, 115)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_14_22_38.jpg, pred_boxes=[(1520, 320, 220, 55)], pred_scores=['0.9919'], Avg IoU=0.0593
Image: enter_2024_11_12_14_39_44.jpg, pred_boxes=[(40, 1245, 155, 50)], pred_scores=['0.9840'], Avg IoU=0.0000
Image: enter_2024_11_12_14_49_45.jpg, pred_boxes=[(955, 640, 195, 60)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_15_02_39.jpg, pred_boxes=[(1355, 485, 125, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_15_02_42.jpg, pred_boxes=[(1720, 460, 145, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_15_15_46.jpg, pred_boxes=[(470, 515, 125, 80)], pred_scores=['1.0000'], Avg IoU=0.8491
Image: enter_2024_11_12_15_19_17.jpg, pred_boxes=[(1750, 95, 100, 100)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_15_42_00.jpg, pred_boxes=[(990, 595, 175, 60)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_16_00_34.jpg, pred_boxes=[(530, 615, 145, 75)], pred_scores=['1.0000'], Avg IoU=0.8038
Image: enter_2024_11_12_15_42_53.jpg, pred_boxes=[(2025, 380, 130, 60)], pred_scores=['1.0000'], Avg IoU=0.9402
Image: enter_2024_11_12_16_16_24.jpg, pred_boxes=[(410, 95, 130, 110)], pred_scores=['0.9914'], Avg IoU=0.0000
Image: enter_2024_11_12_16_23_59.jpg, pred_boxes=[(1920, 170, 90, 60)], pred_scores=['1.0000'], Avg IoU=0.7787
Image: enter_2024_11_12_16_25_55.jpg, pred_boxes=[(1910, 220, 80, 60)], pred_scores=['1.0000'], Avg IoU=0.7736
Image: enter_2024_11_12_16_27_25.jpg, pred_boxes=[(1785, 185, 100, 65)], pred_scores=['0.9839'], Avg IoU=0.2492
Image: enter_2024_11_12_16_45_18.jpg, pred_boxes=[(1255, 500, 125, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_16_51_09.jpg, pred_boxes=[(1110, 485, 145, 55)], pred_scores=['1.0000'], Avg IoU=0.8363
Image: enter_2024_11_12_17_34_31.jpg, pred_boxes=[(940, 800, 165, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_17_39_21.jpg, pred_boxes=[(575, 550, 160, 75)], pred_scores=['1.0000'], Avg IoU=0.9084
Image: enter_2024_11_12_18_02_09.jpg, pred_boxes=[(1045, 0, 125, 120)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_18_07_30.jpg, pred_boxes=[(1745, 130, 80, 55)], pred_scores=['1.0000'], Avg IoU=0.7505
Image: enter_2024_11_12_18_12_09.jpg, pred_boxes=[(1830, 465, 90, 45)], pred_scores=['0.9922'], Avg IoU=0.5375
Image: enter_2024_11_12_18_14_54.jpg, pred_boxes=[(1260, 0, 100, 95)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_12_18_18_06.jpg, pred_boxes=[(2100, 260, 110, 55)], pred_scores=['0.9911'], Avg IoU=0.0000
Image: enter_2024_11_12_18_59_51.jpg, pred_boxes=[(1910, 405, 140, 55)], pred_scores=['1.0000'], Avg IoU=0.8013
Image: enter_2024_11_12_18_46_13.jpg, pred_boxes=[(710, 495, 150, 75)], pred_scores=['1.0000'], Avg IoU=0.9129
Image: enter_2024_11_12_18_22_47.jpg, pred_boxes=[(500, 525, 135, 75)], pred_scores=['1.0000'], Avg IoU=0.8682
Image: enter_2024_11_12_19_01_10.jpg, pred_boxes=[(425, 335, 70, 85)], pred_scores=['0.9917'], Avg IoU=0.0000
Image: enter_2024_11_12_19_15_45.jpg, pred_boxes=[(1455, 315, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.9280
Image: enter_2024_11_12_20_14_34.jpg, pred_boxes=[(1475, 205, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.9439
Image: enter_2024_11_12_20_17_11.jpg, pred_boxes=[(1475, 205, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.8660
Image: enter_2024_11_12_21_06_46.jpg, pred_boxes=[(1500, 345, 90, 30)], pred_scores=['1.0000'], Avg IoU=0.8612
Image: enter_2024_11_13_09_09_14.jpg, pred_boxes=[(830, 85, 95, 45)], pred_scores=['0.9748'], Avg IoU=0.0000
Image: enter_2024_11_13_09_20_35.jpg, pred_boxes=[(765, 80, 160, 55)], pred_scores=['0.9956'], Avg IoU=0.0000
Image: enter_2024_11_13_09_27_32.jpg, pred_boxes=[(1575, 130, 75, 40)], pred_scores=['1.0000'], Avg IoU=0.8040
Image: enter_2024_11_13_09_30_00.jpg, pred_boxes=[(1585, 175, 70, 45)], pred_scores=['0.9968'], Avg IoU=0.6250
Image: enter_2024_11_13_09_31_45.jpg, pred_boxes=[(520, 115, 110, 70)], pred_scores=['0.9914'], Avg IoU=0.0000
Image: enter_2024_11_13_09_37_02.jpg, pred_boxes=[(520, 105, 140, 85)], pred_scores=['0.9800'], Avg IoU=0.0000
Image: enter_2024_11_13_09_39_30.jpg, pred_boxes=[(535, 115, 90, 65)], pred_scores=['0.9357'], Avg IoU=0.0000
Image: enter_2024_11_13_09_40_51.jpg, pred_boxes=[(35, 1230, 155, 70)], pred_scores=['0.9943'], Avg IoU=0.0000
Image: enter_2024_11_13_09_43_03.jpg, pred_boxes=[(1065, 205, 60, 90)], pred_scores=['0.9937'], Avg IoU=0.0000
Image: enter_2024_11_13_09_53_54.jpg, pred_boxes=[(1330, 235, 85, 30)], pred_scores=['1.0000'], Avg IoU=0.8497
Image: enter_2024_11_13_09_45_59.jpg, pred_boxes=[(1330, 235, 85, 30)], pred_scores=['1.0000'], Avg IoU=0.8380
Image: enter_2024_11_13_10_12_08.jpg, pred_boxes=[(1240, 130, 105, 100)], pred_scores=['1.0000'], Avg IoU=0.1411
Image: enter_2024_11_13_10_27_14.jpg, pred_boxes=[(1110, 305, 90, 55)], pred_scores=['1.0000'], Avg IoU=0.8542
Image: enter_2024_11_13_10_29_01.jpg, pred_boxes=[(35, 1240, 155, 55)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_13_10_29_47.jpg, pred_boxes=[(2125, 155, 90, 120)], pred_scores=['0.9951'], Avg IoU=0.0000
Image: enter_2024_11_13_11_44_25.jpg, pred_boxes=[(1560, 300, 90, 70)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: enter_2024_11_13_13_40_25.jpg, pred_boxes=[(1895, 310, 100, 65)], pred_scores=['0.9954'], Avg IoU=0.0000
Image: enter_2024_11_13_14_28_20.jpg, pred_boxes=[(1715, 270, 85, 50)], pred_scores=['1.0000'], Avg IoU=0.8327
Image: enter_2024_11_13_14_29_30.jpg, pred_boxes=[(1545, 0, 60, 80)], pred_scores=['0.9899'], Avg IoU=0.0000
Image: enter_2024_11_13_14_47_34.jpg, pred_boxes=[(1480, 210, 100, 30)], pred_scores=['1.0000'], Avg IoU=0.7870
Image: enter_2024_11_14_12_53_09.jpg, pred_boxes=[(1675, 235, 95, 100)], pred_scores=['0.9909'], Avg IoU=0.1617
Image: enter_2024_11_14_13_35_39.jpg, pred_boxes=[(1070, 335, 95, 55)], pred_scores=['0.9971'], Avg IoU=0.8539
Image: enter_2024_11_14_13_39_53.jpg, pred_boxes=[(40, 1235, 150, 60)], pred_scores=['0.9966'], Avg IoU=0.0000
Image: enter_2024_11_14_13_55_47.jpg, pred_boxes=[(1640, 105, 270, 75)], pred_scores=['0.9762'], Avg IoU=0.0000
Image: leave_2024_11_04_19_41_42.jpg, pred_boxes=[(885, 405, 115, 65)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_04_19_42_46.jpg, pred_boxes=[(1610, 520, 90, 45)], pred_scores=['0.9788'], Avg IoU=0.7269
Image: leave_2024_11_04_19_44_56.jpg, pred_boxes=[(905, 440, 145, 120)], pred_scores=['0.9675'], Avg IoU=0.0000
Image: leave_2024_11_04_19_44_01.jpg, pred_boxes=[(1610, 520, 90, 50)], pred_scores=['1.0000'], Avg IoU=0.7571
Image: leave_2024_11_04_19_45_21.jpg, pred_boxes=[(1675, 515, 230, 35)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_04_19_56_20.jpg, pred_boxes=[(1280, 280, 185, 120)], pred_scores=['0.9913'], Avg IoU=0.0000
Image: leave_2024_11_04_20_28_06.jpg, pred_boxes=[(2235, 610, 95, 40)], pred_scores=['1.0000'], Avg IoU=0.0000
Image: leave_2024_11_04_19_57_40.jpg, pred_boxes=[(915, 1210, 80, 55)], pred_scores=['0.9913'], Avg IoU=0.0000
Image: leave_2024_11_04_21_21_38.jpg, pred_boxes=[(1325, 580, 100, 35)], pred_scores=['1.0000'], Avg IoU=0.7383
Image: leave_2024_11_04_21_22_06.jpg, pred_boxes=[(1320, 580, 105, 30)], pred_scores=['1.0000'], Avg IoU=0.7844
